dt,maxco,nx,nz,ncells,nlayers,expratio,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
nan,30.0,90,50,9184469,18,1.2,1.897530704213868,0.26379208375047664,1.0144728021722655,3.446918712,33.63519906,5.325983298,Euler
nan,30.0,60,25,13417123,18,1.2,1.9004436144548391,0.31104249587757654,1.0575835234134254,2.474161937,35.87121298,4.172439666,Euler
nan,30.0,54,25,11167064,18,1.2,1.8992287093572024,0.30223857292283224,1.0344680053693565,1.052633611,32.64232835,18.0656969,Euler
0.002,nan,70,25,16036511,20,1.2,1.8989232732871284,0.325753536145329,1.0412218210757624,2.355292724,33.86260485,3.770007317,Euler
0.002,nan,70,25,16036511,20,1.2,1.8988180160768091,0.3375777984875463,1.0626620629452574,2.355292724,33.86260485,3.770007317,Euler
