theta_deg,tsr,cp,cd
0.0,1.7996741217735075,-7.45538649391548,31.974665830104
0.0,1.7962140170320149,0.2178673759568569,1.137745719226
0.0,1.7927539122905225,0.3123213489856825,1.0932596679116
0.0,1.78929380754903,0.35600146551881356,1.0793844470208
0.0,1.7858337028075373,0.38809965747712155,1.0805184496526001
0.0,1.7823735980660447,0.41213697146098066,1.0775403379108
0.0,1.778913493324552,0.4310791248591726,1.0815402518619999
0.0,1.7754533885830597,0.44709338881855654,1.0835222553376
0.0,1.771993283841567,0.4611752246390831,1.0885270535045999
0.0,1.7685331791000745,0.47349472405947834,1.0955236820302
0.0,1.7650730743585819,0.4839516907718658,1.1009701313626001
0.0,1.7616129696170892,0.4938202821986205,1.1053495906162
0.1913489299750661,1.7585780774104995,0.5013382728202054,1.1116916138796
0.5996281976741304,1.7560252443343842,0.5058973369809427,1.1197022283186
1.007907465373194,1.753472411258269,0.5118299568564684,1.1270599699856
1.4161867330722586,1.7509195781821534,0.517485505025616,1.1338027623458
1.824466000771323,1.748366745106038,0.5224270508979603,1.1416496463382
2.232745268470386,1.7458139120299225,0.5263141247156674,1.149556671521
2.6410245361694504,1.7432610789538072,0.5290207573171166,1.1579463188924002
3.0493038038685145,1.7407082458776917,0.5312144446087208,1.1670893458486
3.4575830715675786,1.7381554128015764,0.5329463454492294,1.1754825549486
3.8658623392666422,1.735602579725461,0.5340556523031942,1.1840461683644001
4.274141606965706,1.7330497466493455,0.5346454319360425,1.1927699420198
4.68242087466477,1.7304969135732302,0.5350767868783085,1.1993806365732
5.090700142363835,1.7279440804971147,0.5355020047091987,1.2054039633704001
5.490885932708803,1.726435684510964,0.5344143449408524,1.2121021937638
5.890530715209283,1.7249971038383087,0.5320931037520401,1.2189006747888003
6.290175497709765,1.7235585231656536,0.5322056115665562,1.2258258398233999
6.689820280210246,1.7221199424929983,0.5327245172895425,1.2329218339292
7.089465062710725,1.7206813618203431,0.5329694232981522,1.2398896452233998
7.489109845211206,1.7192427811476878,0.5330344121222705,1.2472662055916
7.8887546277116884,1.7178042004750327,0.5327988614239291,1.2535158346251998
8.288399410212168,1.7163656198023773,0.532693044769259,1.2582832255374
8.688044192712649,1.7149270391297222,0.5329970242947376,1.2628367342928
9.087688975213132,1.7134884584570669,0.5331543726865112,1.2671109254614001
9.487333757713607,1.7120498777844118,0.5330793763095234,1.2720285233828
9.88697854021409,1.7106112971117564,0.5324159561683759,1.2775232837542
10.284296203650035,1.7096724766350293,0.5316755674823468,1.2832776771127998
10.678209378084247,1.7094647868152901,0.5277646254504301,1.290377137198
11.072122552518456,1.7092570969955507,0.5261511083534112,1.2975872674794
11.466035726952667,1.7090494071758113,0.525547841406042,1.3049051752510001
11.859948901386876,1.708841717356072,0.5241951183787785,1.3115509770408
12.253862075821084,1.7086340275363325,0.5233432278530528,1.3185755271096
12.647775250255297,1.7084263377165934,0.5219398721955119,1.324983559767
13.041688424689507,1.708218647896854,0.5207383055565092,1.3311228765927998
13.435601599123718,1.7080109580771146,0.5194593557893448,1.337420919457
13.829514773557927,1.7078032682573752,0.5184007508176096,1.3432410425158001
14.223427947992137,1.7075955784376358,0.5171113975457855,1.3489501850606
14.61734112242635,1.7073878886178964,0.5156608479505731,1.3553897204512
15.011254296860558,1.7071801987981572,0.5140112159594629,1.3618086446986002
15.403099695412637,1.7080638819247538,0.5106458054156306,1.368771484159
15.794648851002227,1.7091039222066895,0.5059977407712609,1.3768950062243999
16.186198006591813,1.710143962488625,0.5038296447209579,1.3843278286234002
16.577747162181403,1.7111840027705607,0.5014923422885965,1.3924912250038002
16.96929631777099,1.7122240430524962,0.4989296318524399,1.4005451591856
17.36084547336058,1.7132640833344317,0.49627502666532886,1.4083302553818
17.752394628950167,1.7143041236163674,0.4935656288906034,1.4157456321466
18.143943784539754,1.715344163898303,0.4907324123931593,1.423133345161
18.53549294012934,1.7163842041802384,0.4879458027636706,1.4295917025964
18.927042095718928,1.7174242444621741,0.48519682592279445,1.4365763761786
19.31859125130852,1.7184642847441096,0.48222378207261063,1.4435675918226
19.71014040689811,1.719504325026045,0.4791603317534868,1.4511897067592
20.102099958977746,1.7209438301293782,0.4758062610053184,1.4587432586078
20.494844356899655,1.7231472752560792,0.4695234643054287,1.4670370650145999
20.887588754821557,1.7253507203827805,0.4654005793333829,1.4750041200652
21.280333152743463,1.7275541655094817,0.46217641450798846,1.4825243717202
21.67307755066537,1.729757610636183,0.4589900013936819,1.490248277123
22.065821948587274,1.7319610557628842,0.4559363066459514,1.4979324691804
22.458566346509176,1.7341645008895852,0.4529254883781391,1.5049136475359999
22.85131074443108,1.7363679460162864,0.4499093031075476,1.512428564411
23.24405514235298,1.7385713911429876,0.4468170556141001,1.5193376757502002
23.636799540274886,1.7407748362696889,0.44375137928717484,1.5261395718382
24.029543938196788,1.7429782813963899,0.44060193477137216,1.533327571436
24.422288336118694,1.7451817265230911,0.43741002005878477,1.5400610562327999
24.815032734040596,1.7473851716497923,0.4341369469652726,1.5464195902948001
25.21155923887364,1.750388265077811,0.4297771644254415,1.5530078359038
25.608961231418668,1.753576462279511,0.424218071011,1.5594160783632
26.0063632239637,1.7567646594812107,0.42094123169631004,1.5659258183446
26.403765216508734,1.7599528566829106,0.4175537607071001,1.5722033800054
26.801167209053766,1.7631410538846104,0.41445618881110463,1.57850467887
27.19856920159879,1.7663292510863102,0.4112282069890545,1.5846775917747997
27.595971194143825,1.76951744828801,0.4077617699941674,1.5899204204844
27.99337318668886,1.7727056454897099,0.40445132103096176,1.5954682695971998
